anio,residencia_muncipio_id ,residencia_muncipio_nombre,cantidad 
2018,06329,General Las Heras,0
2018,06336,General Lavalle,0
2018,06343,General Paz,0
2018,06351,General Pinto,0
2018,06357,General Pueyrredón,63
2018,06364,General Rodríguez,4
2018,06371,General San Martín,26
2018,06385,General Viamonte,0
2018,06392,General Villegas,5
2018,06399,Guaminí,1
2018,06406,Hipólito Yrigoyen,0
2018,06408,Hurlingham,9
2018,06410,Ituzaingó,9
2018,06412,José C. Paz,40
2018,06413,Junín,6
2018,06420,La Costa,7
2018,06427,La Matanza,186
2018,06434,Lanús,53
2018,06441,La Plata,70
2018,06448,Laprida,0
2018,06455,Las Flores,0
2018,06462,Leandro N. Alem,0
2018,06466,Lezama,1
2018,06469,Lincoln,3
2018,06476,Lobería,0
2018,06483,Lobos,1
2018,06490,Lomas de Zamora,107
2018,06497,Luján,3
2018,06505,Magdalena,1
2018,06511,Maipú,0
2018,06515,Malvinas Argentinas,43
2018,06518,Mar Chiquita,2
2018,06525,Marcos Paz,6
2018,06532,Mercedes,6
2018,06539,Merlo,53
2018,06547,Monte,0
2018,06553,Monte Hermoso,0
2018,06560,Moreno,61
2018,06568,Morón,16
2018,06574,Navarro,2
2018,06581,Necochea,5
2018,06588,9 de Julio,4
2018,06595,Olavarría,0
2018,06602,Patagones,2
2018,06609,Pehuajó,4
2018,06616,Pellegrini,1
2018,06623,Pergamino,2
2018,06630,Pila,1
2018,06638,Pilar,49
2018,06644,Pinamar,1
2018,06648,Presidente Perón,9
2018,06651,Puán,0
2018,06655,Punta Indio,0
2018,06658,Quilmes,87
2018,06665,Ramallo,2
2018,06672,Rauch,0
2018,06679,Rivadavia,2
2018,06686,Rojas,0
2018,06693,Roque Pérez,1
2018,06700,Saavedra,1
2018,06707,Saladillo,1
2018,06714,Salto,3
2018,06721,Salliqueló,0
2018,06728,San Andrés de Giles,0
2018,06735,San Antonio de Areco,5
2018,06742,San Cayetano,0
2018,06749,San Fernando,19
2018,06756,San Isidro,28
2018,06760,San Miguel,50
2018,06763,San Nicolás,7
2018,06770,San Pedro,8
2018,06778,San Vicente,4
2018,06784,Suipacha,1
2018,06791,Tandil,6
2018,06798,Tapalqué,2
2018,06805,Tigre,38
2018,06812,Tordillo,0
2018,06819,Tornquist,5
2018,06826,Trenque Lauquen,4
2018,06833,Tres Arroyos,1
2018,06840,Tres de Febrero,40
2018,06847,Tres Lomas,0
2018,06854,25 de Mayo,4
2018,06861,Vicente López,17
2018,06868,Villa Gesell,3
2018,06875,Villarino,2
2018,06882,Zárate,12
2018,06999,Ignorado,49
2019,06007,Adolfo Alsina,0
2019,06014,Adolfo Gonzales Chaves,1
2019,06021,Alberti,0
2019,06028,Almirante Brown,60
2019,06035,Avellaneda,36
2019,06042,Ayacucho,0
2019,06049,Azul,1
2019,06056,Bahía Blanca,19
2019,06063,Balcarce,2
2019,06070,Baradero,0
2019,06077,Arrecifes,3
2019,06084,Benito Juárez,0
2019,06091,Berazategui,36
2019,06098,Berisso,6
2019,06105,Bolívar,1
2019,06112,Bragado,1
2019,06119,Brandsen,2
2019,06126,Campana,7
2019,06134,Cañuelas,6
2019,06140,Capitán Sarmiento,0
2019,06147,Carlos Casares,0
2019,06154,Carlos Tejedor,0
2019,06161,Carmen de Areco,1
2019,06168,Castelli,0
2019,06175,Colón,0
2019,06182,Coronel de Marina Leonardo Rosales,1
2019,06189,Coronel Dorrego,1
2019,06196,Coronel Pringles,0
2019,06203,Coronel Suárez,1
2019,06210,Chacabuco,5
2019,06218,Chascomús,1
2019,06224,Chivilcoy,3
2019,06231,Daireaux,0
2019,06238,Dolores,0
2019,06245,Ensenada,10
2019,06252,Escobar,19
2019,06260,Esteban Echeverría,40
2019,06266,Exaltación de la Cruz,2
2019,06270,Ezeiza,22
2019,06274,Florencio Varela,44
2019,06277,Florentino Ameghino,1
2019,06280,General Alvarado,1
2019,06287,General Alvear,0
2019,06294,General Arenales,0
2019,06301,General Belgrano,0
2019,06308,General Guido,0
2019,06315,General Juan Madariaga,0
2019,06322,General La Madrid,0
2019,06329,General Las Heras,1
2019,06336,General Lavalle,0
2019,06343,General Paz,0
2019,06351,General Pinto,0
2019,06357,General Pueyrredón,26
2019,06364,General Rodríguez,1
2019,06371,General San Martín,20
2019,06385,General Viamonte,0
2019,06392,General Villegas,0
2019,06399,Guaminí,0
2019,06406,Hipólito Yrigoyen,0
2019,06408,Hurlingham,8
2019,06410,Ituzaingó,8
2019,06412,José C. Paz,21
2019,06413,Junín,3
2019,06420,La Costa,2
2019,06427,La Matanza,131
2019,06434,Lanús,34
2019,06441,La Plata,52
2019,06448,Laprida,1
2019,06455,Las Flores,0
2019,06462,Leandro N. Alem,0
2019,06466,Lezama,0
2019,06469,Lincoln,0
2019,06476,Lobería,1
2019,06483,Lobos,3
2019,06490,Lomas de Zamora,89
2019,06497,Luján,0
2019,06505,Magdalena,0
2019,06511,Maipú,1
2019,06515,Malvinas Argentinas,29
2019,06518,Mar Chiquita,0
2019,06525,Marcos Paz,4
2019,06532,Mercedes,1
2019,06539,Merlo,47
2019,06547,Monte,0
2019,06553,Monte Hermoso,2
2019,06560,Moreno,44
2019,06568,Morón,14
2019,06574,Navarro,1
2019,06581,Necochea,3
2019,06588,9 de Julio,1
2019,06595,Olavarría,0
2019,06602,Patagones,1
2019,06609,Pehuajó,1
2019,06616,Pellegrini,0
2019,06623,Pergamino,6
2019,06630,Pila,0
2019,06638,Pilar,58
2019,06644,Pinamar,3
2019,06648,Presidente Perón,14
2019,06651,Puán,0
2019,06655,Punta Indio,0
2019,06658,Quilmes,71
2019,06665,Ramallo,3
2019,06672,Rauch,0
2019,06679,Rivadavia,0
2019,06686,Rojas,0
2019,06693,Roque Pérez,0
2019,06700,Saavedra,1
2019,06707,Saladillo,1
2019,06714,Salto,1
2019,06721,Salliqueló,1
2019,06728,San Andrés de Giles,2
2019,06735,San Antonio de Areco,1
2019,06742,San Cayetano,0
2019,06749,San Fernando,14
2019,06756,San Isidro,17
2019,06760,San Miguel,14
2019,06763,San Nicolás,9
2019,06770,San Pedro,1
2019,06778,San Vicente,4
2019,06784,Suipacha,1
2019,06791,Tandil,8
2019,06798,Tapalqué,1
2019,06805,Tigre,37
2019,06812,Tordillo,0
2019,06819,Tornquist,0
2019,06826,Trenque Lauquen,3
2019,06833,Tres Arroyos,2
2019,06840,Tres de Febrero,26
2019,06847,Tres Lomas,0
2019,06854,25 de Mayo,1
2019,06861,Vicente López,11
2019,06868,Villa Gesell,1
2019,06875,Villarino,0
2019,06882,Zárate,7
2019,06999,Ignorado,204
2020,06007,Adolfo Alsina,0
2020,06014,Adolfo Gonzales Chaves,1
2020,06021,Alberti,0
2020,06028,Almirante Brown,41
2020,06035,Avellaneda,21
2020,06042,Ayacucho,2
2020,06049,Azul,0
2020,06056,Bahía Blanca,12
2020,06063,Balcarce,1
2020,06070,Baradero,0
2020,06077,Arrecifes,1
2020,06084,Benito Juárez,1
2020,06091,Berazategui,30
2020,06098,Berisso,4
2020,06105,Bolívar,2
2020,06112,Bragado,3
2020,06119,Brandsen,4
2020,06126,Campana,5
2020,06134,Cañuelas,1
2020,06140,Capitán Sarmiento,0
2020,06147,Carlos Casares,0
2020,06154,Carlos Tejedor,2
2020,06161,Carmen de Areco,2
2020,06168,Castelli,0
2020,06175,Colón,0
